meat_type,fat_content_pct,protein_pct,marbling_score,animal_age_months,storage_days,organic,cut_quality,price_eur_per_kg
1,17.8,21.7,7,49,14,1,3,17.27
4,27.1,21.9,9,22,4,0,4,29.69
4,31.8,16.5,7,20,1,0,2,24.41
3,25.8,22.6,6,11,16,0,2,15.08
3,33.8,22.4,5,2,17,0,4,20.57
5,27.8,22.5,3,37,2,0,2,28.46
1,30.6,15.8,3,71,1,0,4,10.67
4,5.8,19.9,8,17,12,0,1,26.81
2,26.2,19.5,1,32,0,0,1,8.34
1,16.5,16.0,1,67,15,1,3,13.06
3,20.3,17.4,4,56,19,1,2,19.04
5,23.6,19.9,8,2,15,1,4,37.32
4,34.0,23.2,7,37,4,0,3,27.58
4,34.5,17.6,6,12,3,0,2,21.79
4,11.5,24.1,6,19,14,1,1,25.8
4,26.2,21.0,2,19,1,1,1,21.68
3,26.7,23.4,4,44,11,0,4,24.82
1,13.4,20.2,1,15,9,0,2,11.33
5,6.1,20.5,8,19,15,0,3,32.51
3,3.4,21.8,8,17,4,1,5,34.21
3,27.7,25.2,3,26,16,0,5,22.96
2,18.2,20.4,3,47,14,1,2,16.35
1,34.5,20.8,4,29,5,0,1,6.33
5,17.3,21.6,9,24,7,1,4,41.54
4,34.3,23.1,5,38,1,1,4,30.59
4,15.6,15.8,8,45,9,1,2,32.48
3,28.2,20.7,5,3,5,0,3,20.82
5,4.8,20.3,7,64,2,1,1,31.51
3,20.3,25.1,6,66,11,1,4,28.46
3,28.5,20.4,3,44,11,0,4,23.66
3,32.5,20.2,9,42,1,0,2,23.5
2,29.1,25.6,8,50,3,0,3,17.05
1,3.2,20.0,8,32,1,0,2,14.42
3,14.3,17.0,10,27,14,0,1,22.03
5,3.6,17.4,3,26,7,1,1,30.16
1,5.6,16.0,1,13,1,1,5,21.84
5,24.3,15.0,6,60,4,1,3,32.45
5,25.5,19.8,4,24,20,1,1,24.56
2,27.5,23.5,5,21,5,1,1,13.24
4,30.6,23.1,3,69,14,1,2,23.64
1,26.4,15.4,4,37,9,0,5,14.37
4,28.4,21.3,4,45,3,1,2,24.51
4,3.6,16.7,4,19,6,0,5,31.37
2,9.7,25.4,8,21,0,0,3,20.41
1,22.5,16.8,6,52,15,0,4,9.84
5,30.3,21.9,5,33,7,1,4,33.11
3,2.1,18.6,2,12,10,0,1,18.77
5,19.0,22.1,6,60,3,1,1,30.29
4,24.4,19.5,2,30,17,1,5,31.8
4,3.0,23.4,4,48,4,0,5,31.66
4,15.2,17.5,5,25,11,0,1,21.66
1,31.6,25.0,2,41,18,0,4,10.68
2,24.2,20.5,4,56,14,1,5,21.42
3,9.8,23.3,3,63,12,0,5,26.75
3,30.1,24.3,9,16,18,1,2,23.95
1,13.5,26.0,9,49,3,0,5,20.61
3,30.2,17.5,1,66,20,1,4,21.16
1,11.9,18.2,7,46,11,1,5,24.26
4,21.5,17.8,7,12,8,1,1,28.51
4,15.1,17.9,4,15,5,1,4,32.67
5,11.1,21.4,5,16,15,0,1,25.37
4,31.3,25.9,8,9,20,1,2,25.94
2,8.2,25.9,4,54,14,0,1,9.19
5,4.8,20.8,1,69,0,0,3,27.83
3,13.3,22.0,4,38,9,0,5,28.42
2,25.7,24.5,3,43,15,1,4,17.52
5,28.6,25.3,4,56,8,1,2,29.37
2,35.0,17.2,3,31,16,1,3,13.24
1,11.8,20.8,2,35,14,0,2,10.82
3,15.5,24.2,10,43,1,0,4,29.75
4,6.5,18.3,2,23,11,1,2,26.7
1,21.0,19.8,8,6,3,1,1,15.68
3,34.9,25.8,8,41,10,1,3,27.83
1,25.1,25.8,7,59,8,0,5,17.07
4,21.6,25.0,10,7,16,0,3,27.2
3,14.9,23.8,1,17,18,0,2,19.51
2,32.2,18.0,4,20,9,1,1,11.9
2,18.4,18.5,2,58,11,0,5,17.99
3,6.4,21.0,6,37,13,1,4,26.83
4,14.1,21.2,7,39,13,0,1,24.01
